ano,id_microrregiao,sigla_uf,primeiro_ano_tratamento,tratado,pos_tratamento,area_plantada_arroz,area_plantada_cana,area_plantada_outras,area_plantada_soja,valor_producao_arroz,valor_producao_cana,valor_producao_outras,valor_producao_soja,valor_producao_nominal_arroz,valor_producao_nominal_cana,valor_producao_nominal_outras,valor_producao_nominal_soja,area_total_km2,populacao_total,pib_total,pib_per_capita,pib_agropecuario,precip_total_anual_mm,precip_media_mensal_mm,precip_max_mensal_mm
2008,43007,RS,2007,1,1,56.23853292510951,0.0,78.63932176849336,4907.874095967692,17805.55,8560.42,307710.99,496973.97,16877.0,8114.0,291664.0,471057.0,10757.50722141081,201798,2699769000,13378.57,643755000,836.1022472381593,4.354699204365411,8.578181266784666
2009,43007,RS,2007,1,1,74.30028011053474,0.0,73.58089861621058,4947.828645496462,24899.51,9105.79,256580.66,519698.07,23552.0,8613.0,242695.0,491573.0,10757.507221410842,200894,2698304000,13431.48,625035000,1045.5666383107505,5.445659574535157,11.954238017400105
2010,43007,RS,2007,1,1,54.77891018627865,0.0,85.61364722759986,4989.690082047928,27334.0,12419.0,294285.0,609994.0,27334.0,12419.0,294285.0,609994.0,10757.50722141072,196971,3236689000,16432.31,791445000,877.8363863627116,4.572064512305789,8.963356415430708
2011,43007,RS,2007,1,1,51.313373355163044,0.0,98.4272163486936,5012.505308099225,16441.14,8290.93,353367.61,720602.46,17994.0,9074.0,386743.0,788663.0,10757.50722141075,196062,3761369000,19184.59,956332000,889.5908991495768,4.633285933070712,8.033956090609232
2012,43007,RS,2007,1,1,20.964057850830095,0.0,69.9735768330076,5104.98606144035,16038.75,3927.93,314899.49,121112.53,18587.0,4552.0,364931.0,140355.0,10757.507221410797,195191,3393747000,17386.8,464037000,741.2151098251343,3.860495363672575,10.382458567619327
2013,43007,RS,2007,1,1,22.22500431036373,0.0,123.01530969415234,5134.481213520182,15607.34,3863.75,439451.05,787722.28,19159.0,4743.0,539454.0,966979.0,10757.50722141082,201518,5126453000,25439.18,1471994000,967.607100804647,5.039620316690869,8.844360709190369
2014,43007,RS,2007,1,1,28.982932538451955,0.0,87.90946547467043,5242.7902420948985,18817.43,2113.76,222261.57,904667.39,24161.0,2714.0,285377.0,1161565.0,10757.507221410926,201089,5183860000,25778.93,1274199000,1320.4317887624106,6.87724889980422,11.691699425379433
2015,43007,RS,2007,1,1,29.459048442504507,0.0,73.37972041296396,5340.673622737359,16847.19,1451.68,249932.99,892141.24,22932.0,1976.0,340203.0,1214362.0,10757.5072214107,200685,5709735000,28451.23,1426376000,1247.0591068267822,6.495099514722824,15.591437617937725
2016,43007,RS,2007,1,1,88.30789659075884,0.0,58.30316564007568,5365.677949865875,15505.57,1525.38,365506.86,1131253.54,23522.0,2314.0,554475.0,1716115.0,10757.507221410757,200304,6619175000,33045.65,1994704000,987.6198768615724,5.143853525320688,11.280337969462071
2017,43007,RS,2007,1,1,67.79583444171233,0.0,59.63795603363043,5439.154637082332,20417.48,1349.48,250029.09,1008330.77,30744.0,2032.0,376486.0,1518313.0,10757.507221410757,199943,6567877000,32848.75,1605926000,1133.894443511963,5.905700226624807,12.045597036679588
2018,43007,RS,2007,1,1,27.718970529297,0.0,67.04538427679441,5527.154871216803,10142.92,1224.7,275275.31,1216805.13,16332.0,1972.0,443245.0,1959285.0,10757.507221410726,192140,7639212000,39758.57,2070960000,857.0839564005532,4.463978939586215,9.962648153305054
